schoolindex,school,y9,y10,y11,y12,y13,y14,y15,y16,y17
7,Brandeis University,0,0,0,0,0,0,0,0,1
8,카이스트,1,2,0,0,0,1,0,2,0
8,Waseda University,0,0,0,0,0,1,0,0,0
8,Duke University,0,0,1,0,0,0,0,0,0
8,Emory University,0,0,0,0,1,0,0,0,0
8,Moscow state law University,0,0,0,0,0,0,1,0,0
8,Minnesota University,0,0,0,0,0,0,0,1,0
9,카이스트,8,7,4,4,2,6,6,4,0
9,University of Tsukuba,0,1,0,0,0,0,0,0,0
9,Brown University,1,0,0,0,0,0,0,0,0
9,Columbia University,1,0,0,0,0,1,0,0,0
9,Cornell University,2,0,2,0,0,0,1,0,0
9,Dartmouth College,0,1,1,1,0,1,1,1,0
10,강원대,0,0,0,0,0,0,1,0,0
10,건국대,0,0,1,1,0,1,0,0,0
10,경북대,0,1,0,0,0,0,0,0,0
10,경찰대,2,0,0,1,0,0,0,0,0
10,경희대,0,0,0,1,0,0,1,0,0
10,고려대,7,9,13,10,8,0,9,6,0
10,광운대,0,0,0,0,0,1,0,1,0
10,국민대,0,0,0,1,1,1,1,1,0
10,단국대,0,0,0,0,0,0,0,1,0
10,동국대,0,0,1,0,0,0,1,0,0
10,부산대,1,1,0,1,1,0,0,0,0
10,서강대,3,0,0,0,0,4,1,1,0
10,서울대,11,25,13,14,9,13,14,14,0
10,서울시립대,13,8,6,5,14,5,11,9,0
10,성균관대,3,1,6,2,3,3,0,1,0
10,숙명여대,0,0,0,1,0,1,0,1,0
10,아주대,2,0,0,0,1,0,0,0,0
10,연세대,2,3,7,8,10,9,10,8,0
10,원광대,0,0,0,1,0,0,0,0,0
10,이화여대,1,2,2,0,1,6,2,2,0
10,인천대,1,1,0,0,0,0,0,1,0
10,인하대,0,0,0,1,0,1,0,0,0
10,중앙대,0,2,0,2,0,0,0,0,0
10,충남대,1,0,0,0,0,1,0,0,0
9,Harvard University,0,0,1,0,0,0,0,1,0
10,학점은행,0,0,0,0,0,1,0,0,0
10,한국외대,0,0,0,1,1,0,1,0,0
10,한동대,0,0,0,0,0,0,0,2,0
10,한양대,1,1,0,3,0,3,3,2,0
10,홍익대,0,0,0,0,0,0,0,2,0
9,M.I.T,0,1,0,0,1,0,0,0,0
11,가톨릭대,0,0,0,1,0,0,0,1,0
11,건국대,0,1,3,0,1,1,1,0,0
11,경북대,3,1,2,0,1,0,0,0,0
11,경인교대,0,0,0,0,1,0,0,0,0
11,경찰대,1,0,0,0,0,1,3,4,0
11,경희대,0,2,4,3,1,1,1,2,0
11,고려대,12,16,14,19,6,5,8,4,0
11,대구교대,1,0,0,0,0,0,0,0,0
11,단국대,0,0,0,0,0,0,0,1,0
11,동국대,0,1,0,0,0,0,0,0,0
11,명지대,0,0,1,0,0,0,0,0,0
11,부산교대,0,0,1,0,0,0,0,0,0
11,부산대,0,1,3,1,2,1,0,1,0
11,상명대,1,0,0,0,0,0,0,0,0
11,서강대,4,3,4,2,2,1,1,5,0
11,서울교대,1,0,0,0,0,0,0,0,0
11,서울대,50,38,16,30,31,26,31,34,0
11,서울시립대,1,1,1,2,0,2,0,1,0
11,성균관대,18,19,27,36,63,64,51,38,0
11,성신여대,0,0,0,0,0,0,0,1,0
11,세종대,0,0,1,0,0,0,0,0,0
11,숙명여대,0,0,2,0,0,1,0,0,0
11,아주대,1,1,2,0,0,0,0,0,0
11,연세대,8,18,12,12,7,7,16,14,0
11,영남대,1,0,0,1,0,0,0,0,0
11,원광대,0,0,1,0,0,0,0,0,0
11,육군사관학교,0,0,0,2,0,0,0,0,0
11,이화여대,1,2,11,0,2,4,4,3,0
11,인하대,0,0,1,0,0,0,0,0,0
11,전남대,0,1,0,1,0,0,0,0,0
11,제주대,0,0,1,0,0,0,0,0,0
11,중앙대,0,2,2,2,1,2,2,4,0
11,춘천교대,0,1,0,0,0,0,0,0,0
11,충남대,0,1,1,0,0,0,0,0,0
11,포항공대,4,1,0,0,1,2,0,0,0
11,학점은행,0,0,0,0,1,0,1,0,0
9,Smith College,1,0,0,0,0,0,0,0,0
11,한국외대,2,3,5,4,1,0,1,1,0
11,한동대,0,1,2,0,1,0,0,1,0
11,한양대,1,2,5,0,1,3,0,4,0
11,해군사관학교,0,0,0,0,0,1,0,0,0
11,홍익대,0,0,0,0,1,0,0,0,0
9,Swarthmore College,0,1,1,0,0,0,0,0,0
9,University of Chicago,0,1,0,0,0,1,1,0,0
9,University of California,0,0,0,1,0,0,0,1,0
9,University of California,0,0,0,1,1,1,0,0,0
9,Wellesley College,0,0,1,0,0,0,0,0,0
9,Stanford University,1,0,0,0,0,0,0,0,0
9,California Institute,0,0,1,0,0,0,0,0,0
