schoolindex,school,y9,y10,y11,y12,y13,y14,y15,y16,y17,sum
8,경찰대,0,0,0,0,1,0,0,0,0,1
8,경희대,0,0,0,1,2,0,1,0,0,4
8,고려대,6,7,5,12,6,8,8,9,0,61
8,동국대,0,0,0,0,0,1,0,0,0,1
8,서강대,17,9,8,7,7,7,3,4,0,62
8,서울대,10,11,9,5,9,6,12,13,0,75
8,성균관대,1,1,2,0,0,0,1,2,0,7
8,기타 대학,0,0,0,0,0,0,0,1,0,1
8,연세대,4,12,15,16,15,15,13,10,0,100
8,이화여대,0,0,1,1,1,2,1,2,0,8
6,해외대,0,0,0,0,0,0,0,0,1,1
8,기타 대학,0,0,0,0,0,0,1,0,0,1
8,기타 대학,0,0,0,0,1,0,0,0,0,1
8,한국외대,0,1,1,0,0,0,0,0,0,2
8,한양대,1,0,1,0,1,0,0,0,0,3
6,해외대,0,0,0,0,0,0,0,0,1,1
6,해외대,0,0,0,0,0,0,0,0,1,1
6,해외대,0,0,0,0,0,0,0,0,2,2
6,해외대,0,0,0,0,0,0,0,0,1,1
6,해외대,0,0,0,0,0,0,0,0,1,1
9,기타 대학,0,0,0,0,0,0,0,1,0,1
9,기타 대학,0,1,0,0,0,0,0,0,0,1
9,건국대,0,0,0,0,0,0,0,1,0,1
9,경북대,1,0,0,0,0,0,0,0,0,1
9,경찰대,2,1,1,1,1,3,3,3,0,15
9,경희대,0,1,0,0,0,1,0,0,0,2
9,고려대,18,16,21,26,27,16,13,17,0,154
9,기타 대학,0,0,0,0,1,0,0,0,0,1
9,부산대,1,0,0,0,0,0,0,0,0,1
9,서강대,1,0,0,0,0,1,1,0,0,3
9,서울대,100,99,103,102,102,100,100,99,0,805
9,서울시립대,0,0,0,1,0,0,0,0,0,1
9,성균관대,0,1,0,1,2,1,3,0,0,8
9,숙명여대,0,0,0,0,0,1,0,0,0,1
9,연세대,9,18,15,12,10,16,18,20,0,118
9,기타 대학,0,0,0,0,1,0,0,0,0,1
9,이화여대,1,1,0,0,1,0,0,2,0,5
9,기타 대학,0,1,0,0,0,0,0,0,0,1
9,중앙대,0,2,0,0,0,1,0,0,0,3
9,충남대,0,0,0,0,0,0,1,0,0,1
9,기타 대학,1,0,0,0,0,0,0,0,0,1
9,기타 대학,1,2,3,2,2,1,2,0,0,13
7,카이스트,1,1,2,0,1,0,0,1,0,6
9,한국외대,0,0,0,0,0,0,1,0,0,1
9,한양대,0,0,1,0,2,0,2,2,0,7
9,홍익대,1,0,0,0,0,0,0,1,0,2
7,해외대,0,1,0,0,0,0,1,1,0,3
9,기타 대학,0,0,0,1,0,0,0,0,0,1
7,해외대,0,0,0,0,1,0,0,0,0,1
7,해외대,0,0,0,0,1,0,0,0,0,1
7,해외대,0,0,0,0,0,1,0,0,0,1
7,해외대,0,0,0,0,0,0,1,0,0,1
7,해외대,0,0,0,0,0,0,0,1,0,1
7,해외대,0,0,0,0,0,0,0,0,1,1
8,카이스트,1,2,0,0,0,1,0,2,0,6
8,해외대,0,0,0,0,0,1,0,0,0,1
8,해외대,0,0,1,0,0,0,0,0,0,1
8,해외대,0,0,0,0,1,0,0,0,0,1
8,해외대,0,0,0,0,0,0,1,0,0,1
8,해외대,0,0,0,0,0,0,0,1,0,1
9,카이스트,8,7,4,4,2,6,6,4,0,41
9,해외대,0,1,0,0,0,0,0,0,0,1
9,해외대,1,0,0,0,0,0,0,0,0,1
9,해외대,1,0,0,0,0,1,0,0,0,2
9,해외대,2,0,2,0,0,0,1,0,0,5
9,해외대,0,1,1,1,0,1,1,1,0,6
10,기타 대학,0,0,0,0,0,0,1,0,0,1
10,건국대,0,0,1,1,0,1,0,0,0,3
10,경북대,0,1,0,0,0,0,0,0,0,1
10,경찰대,2,0,0,1,0,0,0,0,0,3
10,경희대,0,0,0,1,0,0,1,0,0,2
10,고려대,7,9,13,10,8,0,9,6,0,62
10,기타 대학,0,0,0,0,0,1,0,1,0,2
10,기타 대학,0,0,0,1,1,1,1,1,0,5
10,기타 대학,0,0,0,0,0,0,0,1,0,1
10,동국대,0,0,1,0,0,0,1,0,0,2
10,부산대,1,1,0,1,1,0,0,0,0,4
10,서강대,3,0,0,0,0,4,1,1,0,9
10,서울대,11,25,13,14,9,13,14,14,0,113
10,서울시립대,13,8,6,5,14,5,11,9,0,71
10,성균관대,3,1,6,2,3,3,0,1,0,19
10,숙명여대,0,0,0,1,0,1,0,1,0,3
10,기타 대학,2,0,0,0,1,0,0,0,0,3
10,연세대,2,3,7,8,10,9,10,8,0,57
10,기타 대학,0,0,0,1,0,0,0,0,0,1
10,이화여대,1,2,2,0,1,6,2,2,0,16
10,기타 대학,1,1,0,0,0,0,0,1,0,3
10,기타 대학,0,0,0,1,0,1,0,0,0,2
10,중앙대,0,2,0,2,0,0,0,0,0,4
10,충남대,1,0,0,0,0,1,0,0,0,2
9,해외대,0,0,1,0,0,0,0,1,0,2
10,기타 대학,0,0,0,0,0,1,0,0,0,1
10,한국외대,0,0,0,1,1,0,1,0,0,3
10,한동대,0,0,0,0,0,0,0,2,0,2
10,한양대,1,1,0,3,0,3,3,2,0,13
10,홍익대,0,0,0,0,0,0,0,2,0,2
9,해외대,0,1,0,0,1,0,0,0,0,2
11,기타 대학,0,0,0,1,0,0,0,1,0,2
11,건국대,0,1,3,0,1,1,1,0,0,7
11,경북대,3,1,2,0,1,0,0,0,0,7
11,기타 대학,0,0,0,0,1,0,0,0,0,1
11,경찰대,1,0,0,0,0,1,3,4,0,9
